ID,MT1,MT2,HW,Final
0,0.6185606717497889,0.52307659617995528,0.71269241271932049,0.81050233677508476
1,0.56688004713495843,0.49888269232116766,0.65758470044597461,0.53792487930500854
2,0.56708374182047172,1.0,0.75853960517151209,0.50327846447710534
3,1.0,0.57696137570817552,0.59272832863954539,0.98736220267195729
4,0.70320063012792033,0.52947692932883039,0.70602692943238332,0.63219431967191186
5,0.85857204437161694,0.57554747021982611,0.65759885042622446,0.65969605145136012
6,0.26562804038956517,0.50341833772919986,0.73538757925315901,0.18463914952768501
7,0.50481450319153964,0.58556925477668653,0.66374509008946259,0.62927115062462169
8,0.88155813339717826,1.0,0.73280097137760825,0.78282276268030981
9,0.70307625737941626,0.94471049886614944,0.72690962794784819,1.0
10,0.72355359915934858,0.20724303671928151,0.56328760396436484,0.44206857695386192
11,0.48770845006844626,0.95109502600153029,0.71507859763880599,0.57006494509637085
12,0.62302842887787646,0.59234204140422242,0.82446477849915545,0.59487705001658964
13,0.66341246503213758,0.46667434327075796,0.87592524115229542,0.72795988270198952
14,0.44379068850435399,0.76533097596049182,0.72330555086491022,0.59133756242327251
15,0.71611003988429034,0.63925611881918598,0.73507305341350926,0.95961023898338604
16,0.50032293556956353,0.37580113935210063,0.66886017222639993,0.48611582887251625
17,0.68777131153672466,1.0,0.80695913101747219,0.53237897887040964
18,0.80921267846718314,0.51287302219274311,0.81620044843828865,0.95806365266399884
19,0.74182069910345316,0.80156648028067989,0.61631349849042094,0.49672714713936827
20,0.17593303821752054,0.80673794732389081,0.69472498581283737,0.60242318028915287
21,0.49576865881616505,0.56374600456825941,0.80109404446789134,0.28433674050674107
22,0.90510797118610087,0.19147267333562429,0.77090504468430698,0.75336002508141064
23,0.74823041715809002,1.0,0.93064133732090393,0.56485534297887585
24,0.67680402337493739,0.90099019194245766,0.67297060684288468,0.61057656861528975
25,0.67135273224666059,0.36070980650005285,0.73846567157498266,0.48265131024134911
26,0.56397115053471181,0.52277174968488305,0.78138031057283497,0.71538368789793771
27,0.76993869938195081,0.85438200210159632,0.64428354535443433,0.24756302740690506
28,0.73738759186480285,0.69383017652843071,0.77483834787662054,0.43820084448531471
29,0.68158273508442513,0.27415697463761007,0.59445856146456255,0.5072259984905001
30,0.64739445883510105,0.55391520811014572,0.86031319544093487,0.62732488298492817
31,0.69700572648991055,0.33341105528108694,0.7410614562269856,0.94685564648719556
32,0.90944877463612261,0.71034866677248609,0.75666264233504354,0.67937536306985313
33,0.96796910002782466,0.55950631113561566,0.59561835999757862,0.824960559595314
